session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604dee5fa5b214f6dfca30b3,5ca0abf12461ab0017c40d7a,APPROVED,2021-03-14 11:07:22.788000,2021-03-14 11:22:04.320000,881.532,20,11,2,90,2021-03-14 11:48:38.999000,327BD730,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Female,Yes
604dee6936dd32aa123b55cc,604c919f4e274caaf2502bdd,RETURNED,2021-03-14 11:07:21.464000,,4315337.650813,23,18,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604dee71956240f941cd311b,5dbf4877f33f403e418eb9ac,RETURNED,2021-03-14 11:07:29.761000,,4315329.353897,19,212,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604dee7fa7549b0e7a690b0a,5b926214b06bdf000144a9b4,APPROVED,2021-03-14 11:08:01.656000,2021-03-14 11:19:07.271000,665.615,24,206,3,99,2021-03-14 11:50:13.201000,327BD730,Italy,Italy,Unemployed (and job seeking),Italian,"English, Italian",Italy,Female,Yes
604dee83c29e545a6175dcd0,5f132e2f1e837c059737eda3,RETURNED,2021-03-14 11:07:50.145000,,4315308.981398,25,52,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604dee8d314cbdaf097732de,5eeb2d149c6aa826d58f64cd,APPROVED,2021-03-14 11:07:57.283000,2021-03-14 11:26:59.126000,1141.843,19,56,0,100,2021-03-14 11:49:58.915000,327BD730,Hungary,Hungary,"Not in paid work (e.g. homemaker', 'retired or disabled)",Hungarian,"English, German, Hungarian",Hungary,Male,Yes
604dee96809c14e9233abd59,5e52894c77e0502a16cb4354,RETURNED,2021-03-14 11:08:06.532000,,4315292.628936,22,160,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604dee9a386ded81dd7dea5e,5e92e0a21cd5a1000804a9b3,APPROVED,2021-03-14 11:08:18.372000,2021-03-14 11:23:00.904000,882.532,24,57,0,100,2021-03-14 12:17:30.226000,327BD730,Poland,Poland,Full-Time,Polish,"Polish, English",Poland,Male,No
604dee9a4783736d79329cba,5fa54ed605295a24306688c2,APPROVED,2021-03-14 11:08:12.780000,2021-03-14 11:22:47.253000,874.473,22,53,1,100,2021-03-14 11:50:31.184000,327BD730,Romania,Italy,Unemployed (and job seeking),DATA EXPIRED,"English, Italian, Romanian, Spanish, French",Romania,Female,Yes
604deea65191c2ff47110357,5f5624cfbb2be4a0571cb9ce,REJECTED,2021-03-14 11:08:22.324000,2021-03-14 11:27:55.511000,1173.187,22,49,1,98,2021-03-14 11:53:00.740000,327BD730,Poland,Poland,Part-Time,DATA EXPIRED,"English, German, Polish, Spanish",Poland,Female,Yes
